,avg_tem,sell
0,1.0,1109891.9159515
1,2.0,1072414.41267131
2,3.0,1059733.93982528
3,4.0,1066752.398653462
4,5.0,1152753.285854915
5,6.0,991655.1431995867
6,7.0,1102818.5896906059
7,8.0,1208074.1347905751
8,9.0,1160336.0833027444
9,10.0,1222795.8066897413
10,11.0,1213409.5569579229
11,12.0,1199318.20732626
12,13.0,1281148.1537392766
13,14.0,1294867.5515448584
14,15.0,1369174.81760354
15,16.0,1340356.7157529183
16,17.0,1371806.4221445315
17,18.0,1570709.74856788
18,19.0,1403839.60301807
19,20.0,1367331.4243451601
20,21.0,1427228.87743179
21,22.0,1116544.59190986
22,23.0,1425432.98514542
