,avg_tem,sell,age
0,1.0,172969.57491608,40
1,2.0,165417.68273422,40
2,3.0,165394.82130495,40
3,4.0,158973.80783124,40
4,5.0,176200.6569395,40
5,6.0,148726.29910596,40
6,7.0,164350.81602862,40
7,8.0,181470.21641819,40
8,9.0,175468.24447869445,40
9,10.0,185299.5058444386,40
10,11.0,185491.10639577286,40
11,12.0,181426.12651879998,40
12,13.0,194621.88872614,40
13,14.0,195127.38033206167,40
14,15.0,214687.873351145,40
15,16.0,204876.50989593833,40
16,17.0,211578.71895146833,40
17,18.0,246705.30523937,40
18,19.0,218162.04857397202,40
19,20.0,209793.241314572,40
20,21.0,221197.03033684334,40
21,22.0,166835.09135802,40
22,23.0,222556.01530684,40
