,avg_tem,sell,sex
0,1.0,480295.77047541,M
1,2.0,467318.09904641,M
2,3.0,464544.24561162,M
3,4.0,481127.92650562397,M
4,5.0,506574.98358179,M
5,6.0,445648.00412446,M
6,7.0,492511.394256116,M
7,8.0,538192.340456675,M
8,9.0,515947.7462798978,M
9,10.0,542607.31793048,M
10,11.0,532072.5535306486,M
11,12.0,532005.0578821857,M
12,13.0,571736.4077968966,M
13,14.0,585542.1710023334,M
14,15.0,589417.1832878999,M
15,16.0,597820.0286743067,M
16,17.0,642068.32529771,M
17,18.0,719487.28591599,M
18,19.0,639752.716514158,M
19,20.0,623085.2103791119,M
20,21.0,654954.5510088033,M
21,22.0,526270.10501955,M
22,23.0,695711.39933007,M
